cuisines,uses pork,mostly vegetarian,spicy,use lactose,id,diets
Afghani,yes,yes,no,yes,afghani,vegetarian
African,no,yes,yes,yes,african,halal|vegetarian|hindu
"African, Portuguese",yes,yes,yes,no,african_portuguese,vegetarian|hindu|low_lactose_diet
american,no,no,no,yes,american,halal
Andhra,no,yes,yes,yes,andhra,halal|vegetarian|hindu
Arabian,yes,yes,no,no,arabian,vegetarian|low_lactose_diet
"Arabian, Lebanese",no,no,no,yes,arabian_lebanese,halal
"Arabian, Mexican",yes,yes,no,yes,arabian_mexican,vegetarian
"Arabian, Middle Eastern",yes,no,yes,yes,arabian_middle_eastern,hindu
Asian,yes,yes,yes,yes,asian,vegetarian|hindu
Assamese,yes,no,no,yes,assamese,
Australian,no,yes,yes,yes,australian,halal|vegetarian|hindu
Awadhi,yes,yes,yes,no,awadhi,vegetarian|hindu|low_lactose_diet
"Awadhi, Mughlai",no,yes,no,no,awadhi_mughlai,halal|vegetarian|low_lactose_diet
bakery,yes,no,no,no,bakery,low_lactose_diet
Bar Food,yes,no,yes,yes,bar_food,hindu
"Bar Food, Brazilian",yes,no,no,yes,bar_food_brazilian,
"Bar Food, Modern Australian",yes,no,no,no,bar_food_modern_australian,low_lactose_diet
"Bar Food, Sandwich, Seafood",no,no,yes,yes,bar_food_sandwich_seafood,halal|hindu
"Bar Food, Seafood, Vegetarian",no,yes,no,yes,bar_food_seafood_vegetarian,halal|vegetarian
"Bar Food, Steak",yes,yes,yes,yes,bar_food_steak,vegetarian|hindu
BBQ,yes,yes,yes,yes,bbq,vegetarian|hindu
"BBQ, Breakfast, Southern",yes,no,yes,yes,bbq_breakfast_southern,hindu
"BBQ, Caribbean, Cajun",yes,no,yes,yes,bbq_caribbean_cajun,hindu
"BBQ, Caribbean, Seafood",no,yes,yes,yes,bbq_caribbean_seafood,halal|vegetarian|hindu
"BBQ, Grill, Brazilian",no,yes,yes,no,bbq_grill_brazilian,halal|vegetarian|hindu|low_lactose_diet
"BBQ, Sandwich",no,yes,yes,yes,bbq_sandwich,halal|vegetarian|hindu
"BBQ, Southern",yes,yes,yes,no,bbq_southern,vegetarian|hindu|low_lactose_diet
Bengali,no,yes,yes,yes,bengali,halal|vegetarian|hindu
"Bengali, Seafood",no,yes,no,yes,bengali_seafood,halal|vegetarian
Beverages,yes,no,yes,yes,beverages,hindu
Bihari,yes,yes,no,yes,bihari,vegetarian
Biryani,no,no,yes,yes,biryani,halal|hindu
Brazilian,yes,no,yes,yes,brazilian,hindu
"Brazilian, Bar Food",no,no,no,yes,brazilian_bar_food,halal
"Brazilian, Grill",yes,yes,no,yes,brazilian_grill,vegetarian
"Brazilian, Mineira",no,yes,yes,no,brazilian_mineira,halal|vegetarian|hindu|low_lactose_diet
"Brazilian, North Eastern",yes,yes,no,no,brazilian_north_eastern,vegetarian|low_lactose_diet
"Brazilian, Seafood",no,yes,yes,no,brazilian_seafood,halal|vegetarian|hindu|low_lactose_diet
"Brazilian, Steak",yes,no,yes,no,brazilian_steak,hindu|low_lactose_diet
Breakfast,yes,no,yes,no,breakfast,hindu|low_lactose_diet
"Breakfast, Cajun",yes,no,yes,no,breakfast_cajun,hindu|low_lactose_diet
